Company Name,Location,Industry,Founded,Headquarters,CEO,Employees Number
Royalty Pharma,"New York, New York",Drugs & Biotechnology,2020,"New York, New York",Pablo Gerardo Legorreta,66
Hokuhoku Financial Group,"Toyama, Japan",Banking,2003,Toyama,Eishin Ihori,"4,943"
Avantor,"Radnor, Pennsylvania",Chemicals,1904,"Radnor, Pennsylvania",Michael Stubblefield,"13,500"
Palo Alto Networks,"Santa Clara, California",Technology Hardware & Equipment,2005,"Santa Clara, California",Nikesh Arora,"10,473"
OneMain Holdings,"Evansville, Indiana",Business Services & Supplies,2013,"Evansville, Indiana",Douglas H. Shulman,"8,800"
Oriental Land,"Urayasu, Japan",Media,1960,Urayasu,Toshio Kagami,"8,782"
News Corp,"New York, New York",Media,1922,"New York, New York",Robert James Thomson,"24,000"
Momentum Metropolitan Holdings,"Centurion, South Africa",Diversified Financials,1989,Centurion,Hilgard Pieter Meyer,"16,483"
China Resources Gas Group,"Hong Kong, Hong Kong",Oil & Gas Operations,1905,Hong Kong,Ping Yang,"52,354"
Rocket Companies,"Detroit, Michigan",Business Services & Supplies,1985,"Detroit, Michigan",Jay Farner,
Knorr-Bremse,"Munich, Germany",Consumer Durables,1905,Munich,Frank Markus Weber,"30,544"
HNA Technology,"Tianjin, China",Transportation,Tianjin,China,"36,992",
Fortive,"Everett, Washington",Technology Hardware & Equipment,2015,"Everett, Washington",James A. Lico,"18,000"
Banca MPS,"Siena, Italy",Banking,1472,Siena,Luigi Lovaglio,"21,244"
Adani Green Energy,"Ahmedabad, India",Utilities,2015,Ahmedabad,"2,343",
Kingdom Holding,"Riyadh, Saudi Arabia",Diversified Financials,1996,Riyadh,Talal bin Ibrahim Al-Maiman,
New Residential Investment,"New York, New York",Diversified Financials,2011,"New York, New York",Michael Nierenberg,"12,296"
Adani Ports & Special Economic Zone,"Ahmedabad, India",Transportation,1998,Ahmedabad,Karan Gautambhai Adani,"2,863"
Bank of Guizhou,"Guiyang, China",Banking,2012,Guiyang,"5,255",
Nine Dragons Paper Holdings,"Hong Kong, Hong Kong",Materials,2005,Hong Kong,Ming Chung Liu,"19,576"
China Everbright International,"Hong Kong, Hong Kong",Business Services & Supplies,1961,Hong Kong,Zu Sheng Luan,"11,330"
Hoa Phat Group,"Hung Yen, Vietnam",Materials,1992,Hung Yen,Duong Tuan Tran,"27,651"
EQT,"Pittsburgh, Pennsylvania",Oil & Gas Operations,1888,"Pittsburgh, Pennsylvania",Toby Z. Rice,693
West Pharmaceutical Services,"Exton, Pennsylvania",Drugs & Biotechnology,"Exton, Pennsylvania",United States,"10,065",
All Nippon Airways,"Tokyo, Japan",Transportation,1920,Tokyo,Shinya Katanozaka,"46,580"
Chiba Bank,"Chiba, Japan",Banking,1943,Chiba,Hidetoshi Sakuma,"4,380"
Vietin Bank,"Ha Noi, Vietnam",Banking,1988,Ha Noi,Binh Minh Tran,"25,154"
Atlassian,"Sydney, Australia",IT Software & Services,2013,Sydney,"Michael Cannon, Scott Farquhar","6,433"
Globalfoundries,"Santa Clara, California","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",2009,"Santa Clara, California",Thomas Caulfield,
Kumho Petrochemical,"Seoul, South Korea",Chemicals,1970,Seoul,Chan-Koo Park,"1,401"
Tongkun Group,"Tongxiang, China",Materials,1982,Tongxiang,Jin Xiang Xu,"19,371"
NIPPON EXPRESS HOLDINGS,"Tokyo, Japan",Transportation,Tokyo,Japan,,
Medipal Holdings,"Tokyo, Japan",Drugs & Biotechnology,1923,Tokyo,", Noriaki Horikiri","12,971"
Scentre Group,"Sydney, Australia",Diversified Financials,Sydney,Australia,"2,700",
Huafa Industrial,"Zhuhai, China",Construction,Zhuhai,China,"8,735",
Phosagro,"Moscow, Russia",Chemicals,2001,Moscow,Mikhail Konstantinovich Rybnikov,
Taisei,"Tokyo, Japan",Construction,1873,Tokyo,Takashi Yamauchi,"14,620"
Wheaton Precious Metals,"Vancouver, Canada",Materials,2004,Vancouver,Randy Vernon Joseph,44
China Nuclear Engineering Corporation,"Beijing, China",Construction,2010,Beijing,Xiong Biao Dai,"37,216"
Aroundtown ,"Luxembourg, Luxembourg",Construction,2017,Luxembourg,Barak Bar-Hen,"1,631"
Concordia Financial Group,"Tokyo, Japan",Banking,2016,Tokyo,Kenichi Kawamura,"5,995"
WEG,"Jaraguá do Sul, Brazil",Capital Goods,1961,Jaraguá do Sul,Harry Schmelzer,"36,987"
Shiseido,"Tokyo, Japan",Household & Personal Products,1872,Tokyo,Masahiko Uotani,"35,318"
Ingersoll Rand,"Davidson, North Carolina",Capital Goods,1872,"Davidson, North Carolina",Vicente Reynal,"16,000"
